LBDHDD,LBDHDD_SCORE,LBXTR,LBXTR_SCORE,LBDLDL,LBDLDL_SCORE
158.54509018036072,0.6779300533655106,280.42084168336675,0.487453680331975,262.7795591182364,0.7062599814738069
158.98597194388776,0.6806400978492779,281.2024048096192,0.48903153366021307,263.5130260521042,0.7090799965650284
159.42685370741484,0.683350431497033,281.98396793587176,0.49061857141296683,264.24649298597194,0.71189675002067
159.86773547094188,0.6860607566329319,282.76553106212424,0.492214765100035,264.97995991983964,0.7147098967312071
160.30861723446893,0.6887707744195571,283.5470941883768,0.49382008514409337,265.7134268537074,0.7175190917563312
160.749498997996,0.6914801849703615,284.32865731462925,0.49543450086714863,266.4468937875751,0.7203239904816087
161.19038076152304,0.6941886874638902,285.1102204408818,0.4970579804771182,267.18036072144287,0.7231242487760486
161.6312625250501,0.6968959802597027,285.89178356713427,0.4986904910545397,267.9138276553106,0.7259195231504272
162.07214428857716,0.699601761015903,286.67334669338675,0.5003319985394215,268.64729458917833,0.7287094709162151
162.5130260521042,0.7023057268081874,287.4549098196393,0.5019824677182427,269.3807615230461,0.7314937503449567
162.95390781563125,0.705007574250321,288.23647294589176,0.5036418622111097,270.1142284569138,0.7342720208279344
163.39478957915833,0.7077069996159416,289.0180360721443,0.5053101444590823,270.84769539078155,0.7370439430359729
163.83567134268537,0.7104036989615936,289.7995991983968,0.5069872757116725,271.58116232464926,0.7398091790792088
164.27655310621242,0.7130973682508929,290.5811623246493,0.5086732160145321,272.314629258517,0.7425673926666754
164.71743486973946,0.7157877034797151,291.3627254509018,0.5103679241973322,273.0480961923848,0.7453182492655324
165.15831663326654,0.7184744008023032,292.1442885771543,0.5120713578618491,273.7815631262525,0.7480614162597814
165.59919839679358,0.7211571566581855,292.9258517034068,0.513783473370262,274.51503006012024,0.7507965631083067
166.04008016032063,0.7238356678997935,293.70741482965934,0.5155042258336765,275.24849699398794,0.7535233615020683
166.4809619238477,0.7265096319206682,294.4889779559118,0.5172335691008777,275.9819639278557,0.7562414855202959
166.92184368737475,0.7291787467841373,295.27054108216436,0.5189714557473314,276.7154308617234,0.7589506117855119
167.3627254509018,0.7318427113523531,296.05210420841684,0.5207178370644333,277.44889779559117,0.7616504196172276
167.80360721442887,0.734501225415571,296.8336673346693,0.5224726630490252,278.1823647294589,0.764340591184147
168.2444889779559,0.7371539898215469,297.61523046092185,0.5242358823931821,278.9158316633266,0.7670208116547237
168.68537074148296,0.7398007066049441,298.39679358717433,0.5260074424742829,279.6492985971944,0.7696907693459096
169.12625250501003,0.7424410791166179,299.17835671342687,0.5277872893453766,280.3827655310621,0.77235015586994
169.56713426853707,0.7450748121526654,299.95991983967934,0.5295753677258496,281.11623246492985,0.7749986662790042
170.00801603206412,0.7477016120831158,300.7414829659319,0.5313716209924092,281.84969939879755,0.7776359992076454
170.4488977955912,0.7503211869801403,301.52304609218436,0.5331759911703913,282.5831663326653,0.7802618570127481
170.88977955911824,0.7529332467456586,302.3046092184369,0.5349884189254029,283.3166332665331,0.7828759459109605
171.33066132264528,0.7555375032382238,303.0861723446894,0.5368088435553099,284.0501002004008,0.7854779761134161
171.77154308617236,0.7581336703990599,303.8677354709419,0.5386372029825814,284.78356713426854,0.788067661957611
172.2124248496994,0.7607214643771324,304.6492985971944,0.5404734337469997,285.51703406813624,0.7906447220363055
172.65330661322645,0.7633006036531372,305.43086172344687,0.542317470998748,286.250501002004,0.7932088793233169
173.0941883767535,0.7658708091622771,306.2124248496994,0.544169248491885,286.9839679358717,0.7957598612960775
173.53507014028057,0.7684318044157189,306.9939879759519,0.5460286985782158,287.71743486973946,0.7982974000548366
